GID_2,year,week,date_begin,weeknum,GID_1,R0,R,cases,d2m,t2m,tp,uv,pop_density,pop_sum,Stringency,holiday,DEGURBA_L1,ln_R,cases_rate,cases_accu,cases_accu_rate
IND.1.1_1,2021,10,07/03/2021,1,IND.1_1,3.838277694,1.243318684,165.2160015,22.72083143,27.34291429,0.049607069,112687.5221,19.038,32030,43.52,0,Rural,-1.127239586,0.515816427,165.2160015,0.515816427
IND.1.2_1,2021,10,07/03/2021,1,IND.1_1,3.838277694,1.243318684,165.2160015,22.08837371,26.94213743,0.00906576,112171.5597,31.44,103276,43.52,0,Suburban,-1.127239586,0.159975214,165.2160015,0.159975214
IND.1.3_1,2021,10,07/03/2021,1,IND.1_1,3.838277694,1.243318684,165.2160015,22.06972464,27.20072964,0.015178172,113519.0432,110.028,263128,43.52,0,Urban,-1.127239586,0.062789213,165.2160015,0.062789213
IND.10.1_1,2021,10,07/03/2021,1,IND.10_1,3.838277694,1.243318684,165.2160015,19.48540429,26.81720286,0.001216401,107647.3443,511.161,841924,43.70300493,0,Suburban,-1.127239586,0.019623624,165.2160015,0.019623624
IND.10.2_1,2021,10,07/03/2021,1,IND.10_1,3.838277694,1.243318684,165.2160015,21.06333524,26.59261762,0.006111816,108538.4686,366.816,712115,43.70300493,0,Suburban,-1.127239586,0.023200747,165.2160015,0.023200747
IND.11.10_1,2021,10,07/03/2021,1,IND.11_1,3.838277694,1.622776109,20,12.10273974,26.21701971,0,105227.8467,684.705,2622719,43.52,0,Urban,-0.860885419,0.000762567,20,0.000762567
IND.11.11_1,2021,10,07/03/2021,1,IND.11_1,3.838277694,1.054071267,10,17.34195261,25.6545798,1.87400591836735e-05,104000.6822,213.44,930000,43.52,0,Urban,-1.292363685,0.001075269,10,0.001075269
IND.11.12_1,2021,10,07/03/2021,1,IND.11_1,3.838277694,1.354681056,75,13.38542736,26.15463214,0,103916.0731,593.938,1024864,43.52,0,Urban,-1.041457706,0.007318044,75,0.007318044
IND.11.13_1,2021,10,07/03/2021,1,IND.11_1,3.838277694,0.933040413,26,14.77314249,26.59909714,0,106055.6476,519.383,874202,43.52,0,Suburban,-1.414330513,0.002974141,26,0.002974141
IND.11.14_1,2021,10,07/03/2021,1,IND.11_1,3.838277694,1.332190133,76,14.12693393,26.09600476,7.75157079365079e-05,104333.8562,230.467,1508940,43.52,0,Urban,-1.058199444,0.005036648,76,0.005036648
