GID_2,year,week,date_begin,weeknum,GID_1,R0,R,cases,d2m,t2m,tp,uv,pop_density,pop_sum,Stringency,holiday,DEGURBA_L1,ln_R,cases_rate,cases_accu,cases_accu_rate
IND.1.1_1,2021,10,07/03/2021,1,IND.1_1,3.838277694,1.243318684,196.1093949,23.49394357,27.93506643,0.013216429,117589.415,19.038,32030,43.52,0,Rural,-1.127239586,0.612267858,196.1093949,0.612267858
IND.1.2_1,2021,10,07/03/2021,1,IND.1_1,3.838277694,1.243318684,196.1093949,22.63668457,27.51107457,0.000223007,119001.8409,31.44,103276,43.52,0,Suburban,-1.127239586,0.189888643,196.1093949,0.189888643
IND.1.3_1,2021,10,07/03/2021,1,IND.1_1,3.838277694,1.243318684,196.1093949,23.15954393,27.75231857,0.00071553,119931.6818,110.028,263128,43.52,0,Urban,-1.127239586,0.074530037,196.1093949,0.074530037
IND.10.1_1,2021,10,07/03/2021,1,IND.10_1,3.838277694,1.243318684,196.1093949,21.06608857,26.85080286,0.006216163,110612.8679,511.161,841924,43.91748768,0,Suburban,-1.127239586,0.023293004,196.1093949,0.023293004
IND.10.2_1,2021,10,07/03/2021,1,IND.10_1,3.838277694,1.243318684,196.1093949,22.17181619,26.8016319,0.005440013,112105.8538,366.816,712115,43.91748768,0,Suburban,-1.127239586,0.027539006,196.1093949,0.027539006
IND.11.10_1,2021,10,07/03/2021,1,IND.11_1,3.838277694,1.622776109,38,12.5908578,27.10765286,0.000564076,107303.4244,684.705,2622719,43.52,0,Urban,-0.860885419,0.001448878,38,0.001448878
IND.11.11_1,2021,10,07/03/2021,1,IND.11_1,3.838277694,1.054071267,10,20.41181624,26.33993388,6.81456775510204e-05,107546.5184,213.44,930000,43.52,0,Urban,-1.292363685,0.001075269,10,0.001075269
IND.11.12_1,2021,10,07/03/2021,1,IND.11_1,3.838277694,1.354681056,100,14.23893764,27.37774929,0,107990.539,593.938,1024864,43.52,0,Urban,-1.041457706,0.009757392,100,0.009757392
IND.11.13_1,2021,10,07/03/2021,1,IND.11_1,3.838277694,0.933040413,27,19.20565248,26.06128857,2.98137357142857e-05,109321.6126,519.383,874202,43.52,0,Suburban,-1.414330513,0.003088531,27,0.003088531
IND.11.14_1,2021,10,07/03/2021,1,IND.11_1,3.838277694,1.332190133,74,17.7265585,26.9352827,8.67910968253969e-05,108192.6312,230.467,1508940,43.52,0,Urban,-1.058199444,0.004904105,74,0.004904105
IND.11.15_1,2021,10,07/03/2021,1,IND.11_1,3.838277694,0.92878305,51,17.07889443,26.23896657,0.000124025,109242.9948,293.702,2060036,43.52,0,Suburban,-1.418903847,0.002475685,51,0.002475685
IND.11.16_1,2021,10,07/03/2021,1,IND.11_1,3.838277694,1.060266393,77,16.30214777,27.6860904,0.000119454,108915.0392,67.246,2636839,43.52,0,Urban,-1.286503558,0.002920163,77,0.002920163
IND.11.17_1,2021,10,07/03/2021,1,IND.11_1,3.838277694,1.4418687,88,14.10493792,27.41711143,7.95032857142857e-06,107370.5823,569.127,2255738,43.52,0,Urban,-0.979083768,0.003901162,88,0.003901162
