names,membership_1,membership_2,membership_3
IND.1.1_1,,,
IND.1.2_1,9,,
IND.1.3_1,9,10,11
IND.10.1_1,7,12,17
IND.10.2_1,7,12,17
IND.11.1_1,8,14,19
IND.11.10_1,8,14,19
IND.11.11_1,8,14,19
IND.11.12_1,8,14,19
IND.11.13_1,8,14,19
IND.11.14_1,8,14,19
IND.11.15_1,8,14,19
IND.11.16_1,8,14,19
IND.11.17_1,8,14,19
IND.11.18_1,8,14,19
IND.11.19_1,8,14,19
IND.11.2_1,8,14,19
IND.11.20_1,8,14,19
IND.11.21_1,8,14,19
IND.11.22_1,8,14,19
IND.11.23_1,8,14,19
IND.11.24_1,8,14,19
IND.11.25_1,8,14,19
IND.11.26_1,8,14,19
IND.11.27_1,8,14,19
IND.11.28_1,8,14,19
IND.11.29_1,8,14,19
IND.11.3_1,8,14,19
IND.11.30_1,8,14,19
IND.11.31_1,13,15,20
IND.11.32_1,8,14,19
IND.11.33_1,8,14,19
IND.11.4_1,8,14,19
IND.11.5_1,8,14,19
IND.11.6_1,8,14,19
IND.11.7_1,8,14,19
IND.11.8_1,8,14,19
IND.11.9_1,8,14,19
IND.12.1_1,12,3,5
IND.12.10_1,6,3,5
IND.12.11_1,12,3,5
IND.12.12_1,6,2,4
IND.12.13_1,6,2,4
IND.12.14_1,6,2,4
IND.12.15_1,12,3,5
IND.12.16_1,6,3,5
IND.12.17_1,6,2,4
IND.12.18_1,6,2,4
IND.12.19_1,13,3,5
IND.12.2_1,6,2,5
IND.12.20_1,6,2,4
IND.12.21_1,12,3,5
IND.12.3_1,6,2,4
IND.12.4_1,6,2,5
IND.12.5_1,6,2,4
IND.12.6_1,6,2,5
IND.12.7_1,6,2,4
IND.12.8_1,6,3,5
IND.12.9_1,12,3,5
IND.13.1_1,12,3,5
IND.13.10_1,4,3,8
IND.13.11_1,12,3,5
IND.13.12_1,12,3,5
IND.13.2_1,12,3,5
IND.13.3_1,12,3,5
IND.13.4_1,12,3,5
IND.13.5_1,13,3,5
IND.13.6_1,12,3,5
IND.13.7_1,13,,5
IND.13.8_1,12,3,5
IND.13.9_1,12,3,5
IND.14.1_1,2,16,3
IND.14.10_1,2,3,5
IND.14.11_1,2,16,3
IND.14.12_1,2,16,3
IND.14.13_1,13,2,4
IND.14.14_1,2,3,5
IND.14.15_1,2,16,3
IND.14.16_1,2,3,5
IND.14.17_1,2,3,5
IND.14.18_1,2,3,5
IND.14.19_1,2,3,5
IND.14.2_1,2,16,3
IND.14.20_1,2,16,3
IND.14.21_1,2,16,3
IND.14.22_1,2,3,5
IND.14.3_1,2,16,3
IND.14.4_1,2,16,3
IND.14.5_1,2,3,5
IND.14.6_1,2,16,3
IND.14.7_1,2,3,5
IND.14.8_1,,,3
IND.14.9_1,2,3,5
IND.15.1_1,16,7,11
IND.15.10_1,16,7,10
IND.15.11_1,16,7,11
IND.15.12_1,16,7,10
IND.15.13_1,16,7,10
IND.15.14_1,4,5,10
IND.15.15_1,16,7,10
IND.15.16_1,16,7,11
IND.15.17_1,4,5,7
IND.15.18_1,13,9,10
IND.15.19_1,13,9,10
IND.15.2_1,16,7,10
IND.15.20_1,16,7,10
IND.15.21_1,16,7,10
IND.15.22_1,16,5,7
IND.15.23_1,13,9,10
IND.15.24_1,16,7,10
IND.15.3_1,16,7,11
IND.15.4_1,16,7,11
IND.15.5_1,16,7,11
IND.15.6_1,4,5,7
IND.15.7_1,16,7,10
IND.15.8_1,4,5,7
IND.15.9_1,16,7,10
IND.16.1_1,7,12,17
IND.16.10_1,7,12,17
IND.16.11_1,7,12,17
IND.16.12_1,14,12,17
IND.16.13_1,7,12,17
IND.16.14_1,7,12,17
IND.16.15_1,7,12,17
IND.16.16_1,7,12,17
IND.16.17_1,7,12,17
IND.16.18_1,7,12,17
