names,membership_1,membership_2,membership_3,membership_4,membership_5,membership_6
IND.1.1.1_1,,,,,,
IND.1.2.1_1,20,,,,,
IND.1.3.1_1,20,15,,,12,
IND.10.1.1_1,2,19,44,31,22,22
IND.10.1.2_1,2,19,44,31,22,22
IND.10.1.3_1,2,19,44,31,22,22
IND.10.1.4_1,2,19,44,31,22,22
IND.10.1.5_1,2,19,44,31,22,22
IND.10.1.6_1,2,19,44,31,22,22
IND.10.1.7_1,2,19,44,31,22,22
IND.10.2.1_1,2,19,44,31,22,22
IND.10.2.2_1,2,19,44,31,22,22
IND.10.2.3_1,2,19,44,31,22,22
IND.10.2.4_1,2,19,44,31,22,22
IND.10.2.5_1,2,19,44,31,22,22
IND.11.1.1_1,23,5,16,10,8,9
IND.11.1.2_1,25,4,15,9,9,8
IND.11.1.3_1,23,5,16,10,8,9
IND.11.1.4_1,23,5,16,10,8,9
IND.11.1.5_1,23,5,18,10,8,9
IND.11.10.1_1,24,5,51,37,25,30
IND.11.10.2_1,24,5,51,37,25,30
IND.11.10.3_1,24,5,51,37,25,30
IND.11.10.4_1,24,5,51,37,25,30
IND.11.11.1_1,25,4,15,9,9,8
IND.11.11.2_1,25,4,15,9,9,8
IND.11.11.3_1,25,4,15,9,9,8
IND.11.11.4_1,25,4,15,9,9,8
IND.11.12.1_1,23,5,16,10,8,9
IND.11.12.2_1,23,5,16,10,8,9
IND.11.12.3_1,23,5,16,10,8,9
IND.11.13.1_1,25,4,15,9,9,8
IND.11.13.2_1,25,4,15,9,9,8
IND.11.13.3_1,25,4,15,9,9,8
IND.11.14.1_1,25,4,15,9,9,8
IND.11.14.10_1,,,,,,
IND.11.14.11_1,,,,,,
IND.11.14.12_1,,,,,,
IND.11.14.13_1,,,,,,
IND.11.14.14_1,,,,,,
IND.11.14.15_1,,,,,,
IND.11.14.2_1,25,4,15,9,9,8
IND.11.14.3_1,25,4,15,9,9,8
IND.11.14.4_1,25,4,15,9,9,8
IND.11.14.5_1,25,4,15,9,9,8
IND.11.14.6_1,25,4,15,9,9,8
IND.11.14.7_1,25,4,,9,9,8
IND.11.14.8_1,,4,,,9,
IND.11.14.9_1,,,,,,
IND.11.15.1_1,25,4,15,9,9,8
IND.11.15.10_1,25,4,15,9,9,8
IND.11.15.11_1,25,4,15,9,9,8
IND.11.15.12_1,25,4,15,9,9,8
IND.11.15.2_1,25,4,15,9,9,8
IND.11.15.3_1,25,4,15,9,9,8
IND.11.15.4_1,25,4,15,9,9,8
IND.11.15.5_1,25,4,15,9,9,8
IND.11.15.6_1,25,4,15,9,9,8
IND.11.15.7_1,25,4,15,9,9,8
IND.11.15.8_1,25,4,15,9,9,8
IND.11.15.9_1,25,4,15,9,9,8
IND.11.16.1_1,25,4,18,9,9,8
IND.11.16.10_1,25,4,18,9,9,8
IND.11.16.11_1,25,4,18,9,9,8
IND.11.16.12_1,25,4,14,9,9,8
IND.11.16.13_1,25,4,18,9,9,8
IND.11.16.2_1,25,4,18,9,9,8
IND.11.16.3_1,25,4,18,9,9,8
IND.11.16.4_1,25,4,14,9,9,8
IND.11.16.5_1,25,4,18,9,9,8
IND.11.16.6_1,25,4,18,9,9,8
IND.11.16.7_1,25,4,18,9,9,8
IND.11.16.8_1,,,,,,
IND.11.16.9_1,,,,,,
IND.11.17.1_1,24,5,51,37,25,30
IND.11.17.2_1,24,5,51,37,25,30
IND.11.17.3_1,24,5,51,37,25,30
IND.11.17.4_1,24,5,51,37,25,30
IND.11.17.5_1,24,5,51,37,25,30
IND.11.17.6_1,24,5,51,37,25,30
IND.11.18.1_1,23,5,18,10,8,9
IND.11.18.2_1,23,5,16,10,8,9
IND.11.18.3_1,23,5,18,10,8,9
IND.11.18.4_1,23,5,18,10,8,9
IND.11.18.5_1,23,5,16,10,8,9
IND.11.18.6_1,23,5,18,10,8,9
IND.11.19.1_1,24,5,51,37,25,30
