row,col,code,name,code_num
7,7,IND.1_1,Andaman and Nicobar,IND.1_1
6,4,IND.2_1,Andhra Pradesh,IND.2_1
2,7,IND.3_1,Arunachal Pradesh,IND.3_1
3,6,IND.4_1,Assam,IND.4_1
3,4,IND.5_1,Bihar,IND.5_1
2,2,IND.6_1,Chandigarh,IND.6_1
4,3,IND.7_1,Chhattisgarh,IND.7_1
5,3,IND.8_1,Dadra and Nagar Haveli,IND.8_1
5,2,IND.9_1,Daman and Diu,IND.9_1
7,2,IND.10_1,Goa,IND.10_1
5,1,IND.11_1,Gujarat,IND.11_1
3,1,IND.12_1,Haryana,IND.12_1
1,3,IND.13_1,Himachal Pradesh,IND.13_1
1,2,IND.14_1,Jammu and Kashmir,IND.14_1
4,4,IND.15_1,Jharkhand,IND.15_1
7,3,IND.16_1,Karnataka,IND.16_1
8,3,IND.17_1,Kerala,IND.17_1
8,2,IND.18_1,Lakshadweep,IND.18_1
4,2,IND.19_1,Madhya Pradesh,IND.19_1
6,2,IND.20_1,Maharashtra,IND.20_1
4,7,IND.21_1,Manipur,IND.21_1
4,6,IND.22_1,Meghalaya,IND.22_1
5,7,IND.23_1,Mizoram,IND.23_1
3,7,IND.24_1,Nagaland,IND.24_1
3,2,IND.25_1,NCT of Delhi,IND.25_1
5,4,IND.26_1,Odisha,IND.26_1
7,4,IND.27_1,Puducherry,IND.27_1
2,1,IND.28_1,Punjab,IND.28_1
4,1,IND.29_1,Rajasthan,IND.29_1
3,5,IND.30_1,Sikkim,IND.30_1
8,4,IND.31_1,Tamil Nadu,IND.31_1
6,3,IND.32_1,Telangana,IND.32_1
5,6,IND.33_1,Tripura,IND.33_1
3,3,IND.34_1,Uttar Pradesh,IND.34_1
2,3,IND.35_1,Uttarakhand,IND.35_1
4,5,IND.36_1,West Bengal,IND.36_1
