GID_2,year,week,date_begin,weeknum,GID_1,R0,R,cases,d2m,t2m,tp,uv,pop_density,pop_sum,Stringency,holiday,DEGURBA_L1,ln_R,cases_rate,cases_accu,cases_accu_rate
IND.1.1_1,2020,30,19/07/2020,1,IND.1_1,3.174935155,1.226756832,304.5283153,23.88880071,27.86463643,0.199847425,99032.57071,19.038,32030,87.5,0,Rural,-0.950913243,0.950759648,304.5283153,0.950759648
IND.1.2_1,2020,30,19/07/2020,1,IND.1_1,3.174935155,1.226756832,304.5283153,24.561126,27.00129429,0.543168066,69078.26714,31.44,103276,87.5,0,Suburban,-0.950913243,0.294868426,304.5283153,0.294868426
IND.1.3_1,2020,30,19/07/2020,1,IND.1_1,3.174935155,1.226756832,304.5283153,24.41780714,27.34625179,0.404846678,80793.52857,110.028,263128,87.5,0,Urban,-0.950913243,0.115733907,304.5283153,0.115733907
IND.10.1_1,2020,30,19/07/2020,1,IND.10_1,3.174935155,1.226756832,304.5283153,23.16669214,24.27787714,1.922744329,44690.20214,511.161,841924,87.5,0,Suburban,-0.950913243,0.036170523,304.5283153,0.036170523
IND.10.2_1,2020,30,19/07/2020,1,IND.10_1,3.174935155,1.226756832,304.5283153,23.33905571,24.43100857,1.959296976,45842.80905,366.816,712115,87.5,0,Suburban,-0.950913243,0.042763924,304.5283153,0.042763924
IND.11.10_1,2020,30,19/07/2020,1,IND.11_1,3.174935155,1.325058491,97,25.24586357,28.58322829,0.25552279,71835.35806,684.705,2622719,87.5,0,Urban,-0.873830606,0.003698452,97,0.003698452
IND.11.11_1,2020,30,19/07/2020,1,IND.11_1,3.174935155,2.110323663,1,26.67072793,29.69373918,0.26367863,82623.38714,213.44,930000,87.5,0,Urban,-0.408445878,0.000107527,1,0.000107527
IND.11.12_1,2020,30,19/07/2020,1,IND.11_1,3.174935155,1.107687475,197,26.15907586,30.23882214,0.226268356,75872.43836,593.938,1024864,87.5,0,Urban,-1.053012722,0.019222063,197,0.019222063
IND.11.13_1,2020,30,19/07/2020,1,IND.11_1,3.174935155,1.307526751,53,26.08818631,28.46900357,0.269665229,78298.55236,519.383,874202,87.5,0,Suburban,-0.887149832,0.006062672,53,0.006062672
IND.11.14_1,2020,30,19/07/2020,1,IND.11_1,3.174935155,1.288471919,88,26.36667005,29.71962222,0.234347882,79513.27141,230.467,1508940,87.5,0,Urban,-0.901830251,0.005831908,88,0.005831908
IND.11.15_1,2020,30,19/07/2020,1,IND.11_1,3.174935155,0.971305033,268,26.0023033,28.40537243,0.271454655,75684.85697,293.702,2060036,87.5,0,Suburban,-1.184401925,0.013009481,268,0.013009481
IND.11.16_1,2020,30,19/07/2020,1,IND.11_1,3.174935155,1.132000007,71,26.64036966,31.05028686,0.14779056,89054.35365,67.246,2636839,87.5,0,Urban,-1.031301223,0.002692618,71,0.002692618
IND.11.17_1,2020,30,19/07/2020,1,IND.11_1,3.174935155,0.863742428,130,26.11746687,29.7806281,0.224549101,74297.59445,569.127,2255738,87.5,0,Urban,-1.301767878,0.005763081,130,0.005763081
IND.11.18_1,2020,30,19/07/2020,1,IND.11_1,3.174935155,1.086160223,131,26.11460969,30.19329571,0.277193625,77108.54251,505.123,2216417,87.5,0,Urban,-1.072638463,0.00591044,131,0.00591044
IND.11.19_1,2020,30,19/07/2020,1,IND.11_1,3.174935155,1.301575826,36,25.90596792,29.32731476,0.265606591,75647.12781,480.116,1094773,87.5,0,Urban,-0.891711505,0.003288353,36,0.003288353
IND.11.1_1,2020,30,19/07/2020,1,IND.11_1,3.174935155,0.942439157,1240,26.32336174,30.19953929,0.182839882,77327.88737,1136.666,8706088,87.5,0,Urban,-1.214571126,0.014242907,1240,0.014242907
IND.11.20_1,2020,30,19/07/2020,1,IND.11_1,3.174935155,1.410235729,61,26.21813578,30.4153949,0.190944197,80718.70486,225.362,1076197,87.5,0,Suburban,-0.811530334,0.005668107,61,0.005668107
IND.11.21_1,2020,30,19/07/2020,1,IND.11_1,3.174935155,1.724882701,20,25.24317025,27.90419179,0.336202037,66453.70521,241.543,588858,87.5,0,Suburban,-0.61012816,0.003396405,20,0.003396405
IND.11.22_1,2020,30,19/07/2020,1,IND.11_1,3.174935155,1.065012102,105,25.73738743,28.38550107,0.332849482,73048.75657,663.945,1425930,87.5,0,Suburban,-1.092301046,0.007363615,105,0.007363615
IND.11.23_1,2020,30,19/07/2020,1,IND.11_1,3.174935155,1.254985459,51,25.76241871,29.41903429,0.222291199,72179.12452,617.757,1639633,87.5,0,Urban,-0.928163222,0.003110452,51,0.003110452
IND.11.24_1,2020,30,19/07/2020,1,IND.11_1,3.174935155,1.25780274,71,26.38384431,31.21673508,0.21647487,81028.33419,270.729,1628954,87.5,0,Urban,-0.925920867,0.004358625,71,0.004358625
IND.11.25_1,2020,30,19/07/2020,1,IND.11_1,3.174935155,2.827756023,6,26.30177158,29.04756619,0.270514917,80270.56786,288.376,655065,87.5,0,Urban,-0.115803736,0.00091594,6,0.00091594
IND.11.26_1,2020,30,19/07/2020,1,IND.11_1,3.174935155,1.213594166,324,25.9325436,29.020198,0.258624013,77921.04843,457.892,3472746,87.5,0,Urban,-0.961700867,0.009329793,324,0.009329793
IND.11.27_1,2020,30,19/07/2020,1,IND.11_1,3.174935155,1.136711356,60,25.90043606,29.18683607,0.318913045,76284.86479,377.059,1559789,87.5,0,Suburban,-1.02714789,0.003846674,60,0.003846674
IND.11.28_1,2020,30,19/07/2020,1,IND.11_1,3.174935155,1.026790533,1832,25.947202,28.69507893,0.282877181,73948.45129,1886.711,8134009,87.5,0,Urban,-1.128849258,0.022522719,1832,0.022522719
