GID_2,year,week,date_begin,weeknum,GID_1,R0,R,cases,d2m,t2m,tp,uv,pop_density,pop_sum,Stringency,holiday,DEGURBA_L1,ln_R,cases_rate,cases_accu,cases_accu_rate
IND.1.1_1,2020,30,19/07/2020,1,IND.1_1,3.174935155,1.226756832,408.7185751,23.48038286,27.49144571,0.189835968,110463.1293,19.038,32030,87.5,0,Rural,-0.950913243,1.276049251,408.7185751,1.276049251
IND.1.2_1,2020,30,19/07/2020,1,IND.1_1,3.174935155,1.226756832,408.7185751,24.51731114,27.54103743,0.258240605,95771.50829,31.44,103276,87.5,0,Suburban,-0.950913243,0.395753684,408.7185751,0.395753684
IND.1.3_1,2020,30,19/07/2020,1,IND.1_1,3.174935155,1.226756832,408.7185751,24.00293321,27.71544071,0.104971183,104862.2193,110.028,263128,87.5,0,Urban,-0.950913243,0.155330704,408.7185751,0.155330704
IND.10.1_1,2020,30,19/07/2020,1,IND.10_1,3.174935155,1.226756832,408.7185751,24.04326357,25.90641857,0.499308507,66044.64643,511.161,841924,87.5,0,Suburban,-0.950913243,0.04854578,408.7185751,0.04854578
IND.10.2_1,2020,30,19/07/2020,1,IND.10_1,3.174935155,1.226756832,408.7185751,24.1455919,26.03127905,0.505716476,70983.66476,366.816,712115,87.5,0,Suburban,-0.950913243,0.057395024,408.7185751,0.057395024
IND.11.10_1,2020,30,19/07/2020,1,IND.11_1,3.174935155,1.325058491,171,25.03858331,28.703538,0.147116469,83124.23657,684.705,2622719,87.5,0,Urban,-0.873830606,0.006519951,171,0.006519951
IND.11.11_1,2020,30,19/07/2020,1,IND.11_1,3.174935155,2.110323663,9,26.13504962,29.86973388,0.1631135,89114.94041,213.44,930000,87.5,0,Urban,-0.408445878,0.000967742,9,0.000967742
IND.11.12_1,2020,30,19/07/2020,1,IND.11_1,3.174935155,1.107687475,198,25.2185365,31.32830643,0.067507238,88762.58429,593.938,1024864,87.5,0,Urban,-1.053012722,0.019319637,198,0.019319637
IND.11.13_1,2020,30,19/07/2020,1,IND.11_1,3.174935155,1.307526751,110,25.74590881,29.05724643,0.190921189,91699.4855,519.383,874202,87.5,0,Suburban,-0.887149832,0.012582904,110,0.012582904
IND.11.14_1,2020,30,19/07/2020,1,IND.11_1,3.174935155,1.288471919,136,25.84213523,29.96106698,0.194339836,86490.31367,230.467,1508940,87.5,0,Urban,-0.901830251,0.009012949,136,0.009012949
